Price,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-08 14:30:00+00:00,277.55999755859375,229.0399932861328,317.95001220703125,668.7734985351562,95.82530212402344,279.6693115234375,230.82400512695312,321.2300109863281,676.7100219726562,99.81999969482422,277.45001220703125,228.51199340820312,317.6600036621094,665.635009765625,95.78500366210938,278.1684875488281,229.52000427246094,320.8800048828125,669.6849975585938,99.79000091552734,6285926,5237392,3758988,2929014,18330581
2025-12-08 15:30:00+00:00,277.4599914550781,228.07000732421875,315.869384765625,669.8380126953125,95.92500305175781,277.8800048828125,229.31350708007812,317.8999938964844,670.77001953125,96.56999969482422,276.7049865722656,227.5500030517578,315.6199951171875,667.52001953125,95.30000305175781,277.54998779296875,229.02999877929688,317.8999938964844,668.7000122070312,95.81999969482422,3326326,2886442,2078465,1062264,12653429
2025-12-08 16:30:00+00:00,277.2300109863281,227.2799072265625,313.0199890136719,669.4299926757812,96.11199951171875,277.8190002441406,228.38999938964844,316.1600036621094,670.9000244140625,96.52999877929688,277.0000915527344,227.24000549316406,311.9100036621094,668.0700073242188,95.51000213623047,277.4700012207031,228.03900146484375,315.8200988769531,669.8800048828125,95.93000030517578,1896481,2070338,2665657,690379,7657343
2025-12-08 17:30:00+00:00,276.9700012207031,227.0500030517578,312.8323974609375,667.8599853515625,95.66000366210938,277.84991455078125,227.77000427246094,313.989990234375,670.2098999023438,96.23999786376953,276.8699951171875,227.02000427246094,312.19000244140625,667.6500244140625,95.55000305175781,277.2099914550781,227.27000427246094,313.0436096191406,669.4299926757812,96.12000274658203,1999024,2032964,1384447,569351,5494339
2025-12-08 18:30:00+00:00,276.3599853515625,227.08999633789062,313.6099853515625,666.4849853515625,96.31500244140625,276.9494934082031,227.37399291992188,314.2698974609375,668.3599243164062,96.50499725341797,276.20001220703125,226.6999969482422,312.7049865722656,666.02001953125,95.44999694824219,276.9494934082031,227.02000427246094,312.8599853515625,667.75,95.6500015258789,1825108,2086023,1098322,542845,6449408
2025-12-08 19:30:00+00:00,276.92498779296875,226.9741973876953,313.2699890136719,668.2100219726562,96.95999908447266,276.9700012207031,227.1887969970703,314.06500244140625,668.3400268554688,97.02999877929688,276.1499938964844,226.71499633789062,312.8399963378906,666.239990234375,96.0199966430664,276.3699951171875,227.08999633789062,313.5950012207031,666.489990234375,96.31500244140625,2861661,1794666,1012658,483116,7141535
2025-12-08 20:30:00+00:00,277.9599914550781,226.99000549316406,314.2900085449219,667.030029296875,96.83999633789062,277.9849853515625,227.1300048828125,314.57000732421875,668.3499755859375,97.04000091552734,276.6600036621094,226.27000427246094,312.6400146484375,666.3699951171875,96.23999786376953,276.92999267578125,226.97999572753906,313.2650146484375,668.2449951171875,96.95999908447266,2613900,3015249,6086234,827687,5815091
2025-12-09 14:30:00+00:00,277.70001220703125,227.66000366210938,314.1424865722656,656.719970703125,96.6449966430664,280.0299987792969,227.75,314.5715026855469,666.7999877929688,97.11000061035156,277.3500061035156,225.11000061035156,312.6199951171875,653.3400268554688,96.2300033569336,277.8900146484375,226.88999938964844,314.45001220703125,666.7999877929688,96.79000091552734,5341504,3766539,2063287,2277901,7862597
